RosterID,TeamID,ProfileID,DateCreated,DateApproved,DateUpdated,ByCreated,ByUpdated,ByApproved,IsApproved,IsPlayer,IsRep,IsManager,IsActive,IsConfirmed
287,79,317,2011-04-23 09:27:00,,2011-04-28 20:29:00,317,475,,1,1,1,1,1,1
288,86,870,2011-04-23 11:24:00,,2011-04-26 15:12:00,870,617,,1,1,0,0,1,1
289,81,871,2011-04-23 12:26:00,,,871,,,1,1,0,0,1,
290,87,53,2011-04-23 12:33:00,,2011-04-30 23:49:00,53,617,,1,1,0,0,1,1
291,88,414,2011-04-23 13:36:00,,2011-04-27 10:45:00,414,78,,1,1,0,0,1,1
292,78,873,2011-04-23 14:01:00,,2011-05-16 20:49:00,873,19,,1,1,0,0,0,0
293,90,874,2011-04-23 15:46:00,,2011-04-24 09:53:00,874,492,,1,1,0,0,1,1
294,72,287,2011-04-23 15:48:00,,2011-04-28 07:59:00,287,45,,1,1,0,0,1,1
295,78,21,2011-04-23 17:50:00,,2011-04-24 07:54:00,21,19,,1,1,0,0,1,1
296,88,875,2011-04-24 04:06:00,,2011-04-25 11:37:00,875,78,,1,1,0,0,1,1
297,69,876,2011-04-24 09:02:00,,,876,,,1,1,0,0,1,
298,73,282,2011-04-24 10:39:00,,2011-04-26 15:44:00,282,282,,1,1,1,1,1,1
299,84,175,2011-04-24 13:25:00,,2011-04-26 11:59:00,175,359,,1,1,0,0,1,1
